,Todays Amount,Todays Result,Total Amount
241,100.0,1,1600.0
242,-200.0,0,1400.0
243,112.5,1,1512.5
244,-200.0,0,1312.5
245,100.0,1,1412.5
246,100.0,1,1512.5
247,100.0,1,1612.5
248,112.5,1,1725.0
249,100.0,1,1825.0
250,125.0,1,1950.0
251,112.5,1,2062.5
252,-225.0,0,1837.5
253,100.0,1,1937.5
254,125.0,1,2062.5
255,-212.5,0,1850.0
256,100.0,1,1950.0
257,100.0,1,2050.0
258,112.5,1,2162.5
259,100.0,1,2262.5
260,125.0,1,2387.5
261,-212.5,0,2175.0
262,100.0,1,2275.0
263,100.0,1,2375.0
264,137.5,1,2512.5
265,100.0,1,2612.5
266,112.5,1,2725.0
267,100.0,1,2825.0
268,100.0,1,2925.0
269,-200.0,0,2725.0
270,-200.0,0,2525.0
271,125.0,1,2650.0
272,137.5,1,2787.5
273,112.5,1,2900.0
274,-200.0,0,2700.0
275,-237.5,0,2462.5
276,112.5,1,2575.0
277,125.0,1,2700.0
278,-200.0,0,2500.0
279,100.0,1,2600.0
280,125.0,1,2725.0
281,112.5,1,2837.5
282,100.0,1,2937.5
283,125.0,1,3062.5
284,-200.0,0,2862.5
285,137.5,1,3000.0
286,112.5,1,3112.5
287,112.5,1,3225.0
288,-212.5,0,3012.5
289,-200.0,0,2812.5
290,100.0,1,2912.5
291,137.5,1,3050.0
292,137.5,1,3187.5
293,100.0,1,3287.5
294,100.0,1,3387.5
295,-212.5,0,3175.0
296,112.5,1,3287.5
297,-200.0,0,3087.5
298,-200.0,0,2887.5
299,100.0,1,2987.5
300,-237.5,0,2750.0
301,-212.5,0,2537.5
302,100.0,1,2637.5
303,112.5,1,2750.0
304,112.5,1,2862.5
305,100.0,1,2962.5
306,112.5,1,3075.0
307,100.0,1,3175.0
308,100.0,1,3275.0
309,-212.5,0,3062.5
310,112.5,1,3175.0
311,100.0,1,3275.0
312,-237.5,0,3037.5
313,100.0,1,3137.5
314,100.0,1,3237.5
315,-200.0,0,3037.5
316,-200.0,0,2837.5
317,100.0,1,2937.5
318,-200.0,0,2737.5
319,-200.0,0,2537.5
320,-212.5,0,2325.0
321,100.0,1,2425.0
322,112.5,1,2537.5
323,-200.0,0,2337.5
324,100.0,1,2437.5
325,100.0,1,2537.5
326,-225.0,0,2312.5
327,100.0,1,2412.5
328,-200.0,0,2212.5
329,125.0,1,2337.5
330,100.0,1,2437.5
331,100.0,1,2537.5
332,-200.0,0,2337.5
333,112.5,1,2450.0
334,-225.0,0,2225.0
335,100.0,1,2325.0
336,112.5,1,2437.5
337,-212.5,0,2225.0
338,-200.0,0,2025.0
339,100.0,1,2125.0
340,112.5,1,2237.5
341,-212.5,0,2025.0
342,-212.5,0,1812.5
343,-212.5,0,1600.0
344,112.5,1,1712.5
345,112.5,1,1825.0
346,-200.0,0,1625.0
347,100.0,1,1725.0
348,-200.0,0,1525.0
349,125.0,1,1650.0
350,125.0,1,1775.0
351,100.0,1,1875.0
352,100.0,1,1975.0
353,100.0,1,2075.0
354,112.5,1,2187.5
355,100.0,1,2287.5
356,137.5,1,2425.0
357,-212.5,0,2212.5
358,-212.5,0,2000.0
359,100.0,1,2100.0
360,-212.5,0,1887.5
361,100.0,1,1987.5
362,112.5,1,2100.0
363,100.0,1,2200.0
364,112.5,1,2312.5
365,100.0,1,2412.5
366,125.0,1,2537.5
367,112.5,1,2650.0
368,112.5,1,2762.5
369,100.0,1,2862.5
370,100.0,1,2962.5
371,100.0,1,3062.5
372,-212.5,0,2850.0
373,112.5,1,2962.5
374,100.0,1,3062.5
375,-225.0,0,2837.5
376,-212.5,0,2625.0
377,-212.5,0,2412.5
378,100.0,1,2512.5
379,-200.0,0,2312.5
380,137.5,1,2450.0
381,112.5,1,2562.5
382,-200.0,0,2362.5
383,100.0,1,2462.5
384,-200.0,0,2262.5
385,100.0,1,2362.5
386,-250.0,0,2112.5
387,100.0,1,2212.5
388,-212.5,0,2000.0
389,-200.0,0,1800.0
390,112.5,1,1912.5
391,125.0,1,2037.5
392,137.5,1,2175.0
393,100.0,1,2275.0
394,-200.0,0,2075.0
395,-200.0,0,1875.0
396,112.5,1,1987.5
397,-200.0,0,1787.5
398,100.0,1,1887.5
399,-200.0,0,1687.5
400,112.5,1,1800.0
401,100.0,1,1900.0
402,100.0,1,2000.0
403,112.5,1,2112.5
404,-212.5,0,1900.0
405,112.5,1,2012.5
406,100.0,1,2112.5
407,100.0,1,2212.5
408,-212.5,0,2000.0
409,100.0,1,2100.0
410,112.5,1,2212.5
411,100.0,1,2312.5
412,125.0,1,2437.5
413,100.0,1,2537.5
414,-212.5,0,2325.0
415,-212.5,0,2112.5
416,112.5,1,2225.0
417,125.0,1,2350.0
418,100.0,1,2450.0
419,-200.0,0,2250.0
420,100.0,1,2350.0
421,100.0,1,2450.0
422,-212.5,0,2237.5
423,-200.0,0,2037.5
424,-200.0,0,1837.5
