Player First Hand,Player Action,Player Hand,Player Sum,Dealer Show Card,Dealer Hand,Dealer Sum,Result,Total Winning,Running Count,True Count
"[111, 10]",PBJ,"[111, 10]",21,10,[10. 10.],20,W,37.5,0,0
"[3, 5]",H,"[3, 5, 10]",18,7,[7. 2. 5. 3.],17,W,62.5,-4,-2.1
"[111, 4]",D,"[111, 4, 2]",17,5,[ 5. 10.  7.],22,W,112.5,1,0.6
"[3, 10]",S,"[3, 10]",13,2,[ 2.  9.  4. 10.],25,W,162.5,3,1.8
"[4, 5]",D,"[4, 5, 8]",17,3,[  3. 111.   6.],20,L,-37.5,4,2.6
"[7, 9]",S,"[7, 9]",16,5,[5. 4. 9.],18,L,-62.5,7,4.9
"[6, 6]",H,"[6, 6, 2, 4]",18,10,[10. 10.],20,L,-87.5,10,7.4
"[9, 2]",D,"[9, 2, 2]",13,2,[ 2.  8. 10.],20,L,-137.5,12,9.8
"[111, 10]",PBJ,"[111, 10]",21,7,[ 7. 10.],17,W,-100.0,14,12.6
"[10, 10]",S,"[10, 10]",20,4,[4. 7. 9.],20,P,-100.0,12,11.6
"[5, 10]",H,"[5, 10, 3]",18,7,[7. 3. 7.],17,W,150.0,0,0
"[9, 3]",S,"[9, 3]",12,4,[4. 8. 6.],18,L,75.0,4,2.1
"[8, 10]",S,"[8, 10]",18,10,[10.  3.  6.],19,L,50.0,7,3.9
"[10, 8]",S,"[10, 8]",18,6,[ 6. 10.  4.],20,L,25.0,7,4.1
"[6, 8]",H,"[6, 8, 3]",17,10,[10. 10.],20,L,0.0,7,4.4
"[10, 6]",H,"[10, 6, 111]",17,7,[ 7.  2.  2.  5. 10.],26,W,25.0,7,4.7
"[10, 4]",S,"[10, 4]",14,2,[ 2.  3.  6.  5. 10.],26,W,275.0,9,6.7
"[9, 10]",S,"[9, 10]",19,9,[ 9.  2. 10.],21,L,25.0,12,9.9
"[7, 5]",H,"[7, 5, 10]",22,10,[10.],10,L,0.0,11,9.9
"[5, 5]",D,"[5, 5, 10]",20,2,[ 2. 10.  4.  6.],22,W,50.0,11,10.6
"[5, 4]",H,"[5, 4, 4, 111, 10]",24,10,[10.],10,L,-200.0,0,0
"[9, 10]",S,"[9, 10]",19,10,[10.  8.],18,W,-175.0,0,0.0
"[4, 9]",S,"[4, 9]",13,3,[ 3.  2.  4. 10.],19,L,-200.0,-2,-1.1
"[111, 3]",H,"[111, 3, 2, 10, 2]",18,7,[ 7. 10.],17,W,-175.0,1,0.6
"[6, 5]",D,"[6, 5, 4]",15,9,[ 9. 10.],19,L,-225.0,2,1.3
"[10, 7]",S,"[10, 7]",17,5,[  5. 111.  10.   8.],24,W,-200.0,4,2.7
"[6, 7]",H,"[6, 7, 10]",23,10,[10.],10,L,-275.0,3,2.2
"[7, 3]",H,"[7, 3, 4, 10]",24,10,[10.],10,L,-300.0,3,2.4
"[10, 10]",S,"[10, 10]",20,4,[ 4.  7.  5. 10.],26,W,-275.0,4,3.4
"[8, 9]",S,"[8, 9]",17,10,[10.  8.],18,L,-425.0,4,3.8
"[10, 111]",PBJ,"[10, 111]",21,10,[10. 10.],20,W,-387.5,0,0
"[6, 7]",S,"[6, 7]",13,5,[  5. 111.   9.   4.],19,L,-412.5,-4,-2.1
"[10, 5]",H,"[10, 5, 7]",22,10,[10.],10,L,-437.5,-1,-0.6
"[2, 10]",H,"[2, 10, 2]",14,3,[ 3.  2. 10.  6.],21,L,-462.5,-1,-0.6
"[5, 111]",H,"[5, 111, 10, 4]",20,8,[8. 8. 7.],23,W,-437.5,2,1.3
"[2, 8]",D,"[2, 8, 8]",18,3,[3. 6. 8.],17,W,-287.5,3,2.1
"[6, 10]",S,"[6, 10]",16,3,[  3. 111.   3.],17,L,-487.5,6,4.5
"[6, 10]",H,"[6, 10, 111]",17,8,[ 8. 10.],18,L,-512.5,7,5.6
"[9, 7]",H,"[9, 7, 2]",18,9,[ 9. 10.],19,L,-537.5,5,4.3
"[10, 10]",S,"[10, 10]",20,10,[10. 10.],20,P,-537.5,6,5.7
"[3, 4]",H,"[3, 4, 5, 2, 3]",17,10,[10.  7.],17,P,-537.5,0,0
"[10, 9]",S,"[10, 9]",19,4,[ 4.  2. 10. 10.],26,W,-512.5,5,2.7
"[111, 2]",H,"[111, 2, 10, 3, 10]",26,10,[10.],10,L,-587.5,4,2.3
"[10, 7]",S,"[10, 7]",17,7,[7. 9. 2.],18,L,-612.5,2,1.2
"[10, 8]",S,"[10, 8]",18,10,[10. 10.],20,L,-637.5,4,2.6
"[4, 5]",H,"[4, 5, 8]",17,10,[10. 10.],20,L,-662.5,1,0.7
"[10, 3]",H,"[10, 3, 9]",22,111,[111.],11,L,-687.5,1,0.7
"[8, 8]",SP,"[array([ 8, 10]), array([ 8, 10])]","[18, 18]",10,[10.  6. 10.],26,"['SW', 'SW']",-637.5,0,0.0
"[2, 111]",H,"[2, 111, 10, 7]",20,10,[10.  2.  7.],19,W,-612.5,-3,0.0
"[6, 111]",H,"[6, 111, 5, 4, 6]",22,8,[8.],8,L,-637.5,-2,-2.0
"[10, 7]",S,"[10, 7]",17,3,[3. 9. 7.],19,L,-662.5,0,0
"[10, 6]",S,"[10, 6]",16,5,[ 5.  5. 10.],20,L,-687.5,2,1.1
"[9, 111]",S,"[9, 111]",20,9,[  9. 111.],20,P,-687.5,3,1.7
"[10, 10]",S,"[10, 10]",20,2,[ 2.  9. 10.],21,L,-712.5,1,0.6
"[2, 111]",H,"[2, 111, 6]",19,10,[10. 10.],20,L,-737.5,-1,-0.6
"[4, 111]",H,"[4, 111, 7, 10]",22,3,[3.],3,L,-762.5,-2,-1.3
"[10, 111]",PBJ,"[10, 111]",21,8,[ 8. 10.],18,W,-725.0,-1,-0.7
"[10, 8]",S,"[10, 8]",18,3,[ 3. 10.  6.],19,L,-750.0,-4,-2.9
"[9, 7]",S,"[9, 7]",16,5,[ 5.  5. 10.],20,L,-775.0,-4,-3.2
"[10, 4]",H,"[10, 4, 3]",17,8,[ 8. 10.],18,L,-800.0,-2,-1.7
"[4, 2]",H,"[4, 2, 5, 3, 10]",24,10,[10.],10,L,-825.0,-2,-1.9
"[8, 3]",D,"[8, 3, 10]",21,10,[10.  2.  4.  7.],23,W,-775.0,0,0
"[10, 10]",S,"[10, 10]",20,10,[10.  6.  2.],18,W,-750.0,2,1.1
"[10, 111]",PBJ,"[10, 111]",21,9,[ 9. 10.],19,W,-712.5,1,0.6
"[111, 3]",H,"[111, 3, 10]",14,2,[ 2. 10. 10.],22,W,-687.5,-2,-1.2
