Player First Hand,Player Action,Player Hand,Player Sum,Dealer Show Card,Dealer Hand,Dealer Sum,Result,Total Winning,Running Count,True Count
"[8, 9]",S,"[8, 9]",17,10,[10.  5.  6.],21,L,-25,0,0
"[4, 111]",H,"[4, 111, 2]",17,3,[ 3. 10. 10.],23,W,0,1,0.5
"[10, 9]",S,"[10, 9]",19,2,[  2. 111. 111.   2. 111.],17,W,25,1,0.6
"[7, 3]",H,"[7, 3, 8]",18,10,[10. 10.],20,L,0,-1,-0.6
"[8, 4]",H,"[8, 4, 6]",18,10,[10.  6.  4.],20,L,-25,-1,-0.6
"[9, 10]",S,"[9, 10]",19,111,[111.   4. 111.  10.  10.],26,W,0,2,1.4
"[4, 4]",H,"[4, 4, 10]",18,3,[ 3. 10.  5.],18,P,0,-2,-1.5
"[4, 6]",H,"[4, 6, 10]",20,10,[10.  9.],19,W,25,0,0.0
"[10, 6]",H,"[10, 6, 7]",23,10,[10.],10,L,0,0,0.0
"[9, 6]",S,"[9, 6]",15,3,[ 3.  5. 10.],18,L,-25,0,0.0
"[6, 10]",H,"[6, 10, 10]",26,7,[7.],7,L,-50,0,0
"[7, 2]",D,"[7, 2, 5]",14,2,[ 2. 10.  9.],21,L,-100,0,0.0
"[5, 10]",S,"[5, 10]",15,3,[3. 5. 6. 6.],20,L,-125,3,1.7
"[10, 10]",S,"[10, 10]",20,10,[10. 10.],20,P,-125,7,4.1
"[8, 5]",S,"[8, 5]",13,4,[ 4.  2. 10.  8.],24,W,-100,3,1.9
"[5, 4]",H,"[5, 4, 9]",18,10,[10.  3.  5.],18,P,-100,5,3.3
"[6, 5]",D,"[6, 5, 10]",21,111,[111. 111.   7.],19,W,150,8,5.8
"[9, 10]",S,"[9, 10]",19,8,[8. 8. 6.],22,W,400,8,6.3
"[7, 4]",D,"[7, 4, 10]",21,10,[10.  3.  4.],17,W,900,8,6.8
"[4, 9]",S,"[4, 9]",13,3,[  3.   8.   2. 111.   2. 111.],17,L,650,10,9.5
"[111, 111]",SP,"[array([111,   9]), array([111,   7])]","[20, 118]",111,[111.   2.   4.],17,"['SW', 'SW']",700,0,0
"[10, 10]",S,"[10, 10]",20,2,[2. 6. 9.],17,W,725,0,0
"[9, 4]",H,"[9, 4, 5]",18,111,[111.   9.],20,L,700,0,0.0
"[6, 7]",H,"[6, 7, 3, 8]",24,8,[8.],8,L,675,1,0.6
"[8, 10]",S,"[8, 10]",18,6,[ 6. 10.  7.],23,W,700,4,2.5
"[5, 8]",S,"[5, 8]",13,2,[2. 6. 2. 7.],17,L,600,4,2.7
