Player First Hand,Player Action,Player Hand,Player Sum,Dealer Show Card,Dealer Hand,Dealer Sum,Result,Total Winning,Running Count,True Count
"[3, 10]",H,"[3, 10, 2, 10]",25,7,[7.],7,L,-25,0,0
"[2, 10]",H,"[2, 10, 2, 10]",24,10,[10.],10,L,-50,1,0.5
"[4, 10]",H,"[4, 10, 6]",20,7,[  7. 111.],18,W,-25,0,0.0
"[2, 6]",H,"[2, 6, 3, 8]",19,7,[7. 4. 9.],20,L,-50,1,0.6
"[9, 8]",S,"[9, 8]",17,5,[ 5.  6.  5. 10.],26,W,-25,6,3.8
"[10, 6]",H,"[10, 6, 10]",26,8,[8.],8,L,-275,8,5.5
"[5, 111]",D,"[5, 111, 10]",16,5,[5. 7. 3. 3.],18,L,-325,7,5.1
"[2, 9]",D,"[2, 9, 2]",13,10,[10.  6. 10.],26,W,-275,10,8.0
"[3, 3]",H,"[3, 3, 111]",17,111,[111.  10.],21,L,-525,11,9.7
"[9, 9]",SP,"[array([  9, 111]), array([  9, 111])]","[20, 120]",8,[ 8.  8. 10.],26,"['SW', 'SW']",-475,10,9.6
"[10, 6]",H,"[10, 6, 111]",17,10,[10.  5.  5.],20,L,-500,0,0
"[10, 7]",S,"[10, 7]",17,9,[ 9. 10.],19,L,-525,0,0.0
"[10, 10]",S,"[10, 10]",20,10,[10. 10.],20,P,-525,-1,-0.6
"[3, 3]",H,"[3, 3, 10, 10]",26,8,[8.],8,L,-550,-5,-2.9
"[6, 6]",SP,"[array([ 6, 10]), array([ 6, 10])]","[16, 16]",3,[ 3. 10.  7.],20,"['SL', 'SL']",-600,-5,-3.1
"[3, 8]",D,"[3, 8, 2]",13,8,[ 8.  2. 10.],20,L,-650,-4,-3.1
"[111, 2]",H,"[111, 2, 8]",21,10,[ 10.   6. 111.],17,W,-625,-2,-1.4
"[4, 4]",H,"[4, 4, 10]",18,10,[10.  8.],18,P,-625,-3,-2.4
"[4, 111]",D,"[4, 111, 3]",18,6,[  6. 111.],17,W,-575,-3,-2.6
"[8, 9]",S,"[8, 9]",17,7,[ 7.  2.  4. 10.],23,W,-550,-2,-1.9
"[8, 8]",SP,"[array([8, 6, 7]), array([8, 5, 2, 5])]","[21, 20]",9,[  9.   5. 111.   4.],19,"['SW', 'SW']",-500,0,0
"[2, 3]",H,"[2, 3, 5, 5, 7]",22,111,[111.],11,L,-525,6,0
"[3, 2]",H,"[3, 2, 6, 9]",20,10,[10. 10.],20,P,-525,10,6.0
"[10, 111]",PBJ,"[10, 111]",21,10,[10. 10.],20,W,-487.5,11,7.1
"[10, 2]",S,"[10, 2]",12,6,[ 6. 10. 10.],26,W,-287.5,7,4.7
"[3, 5]",H,"[3, 5, 10]",18,10,[10.  9.],19,L,-462.5,6,4.3
"[3, 10]",H,"[3, 10, 10]",23,10,[10.],10,L,-487.5,6,4.7
"[8, 10]",S,"[8, 10]",18,10,[10.  7.],17,W,-462.5,4,3.3
"[9, 7]",H,"[9, 7, 10]",26,10,[10.],10,L,-562.5,3,2.6
"[111, 8]",S,"[111, 8]",19,111,[111.  10.],21,L,-587.5,2,1.9
"[5, 2]",H,"[5, 2, 6, 10]",23,111,[111.],11,L,-612.5,0,0
"[10, 3]",H,"[10, 3, 8]",21,10,[10.  2. 10.],22,W,-587.5,1,0.5
"[6, 10]",H,"[6, 10, 111]",17,10,[10.  8.],18,L,-612.5,0,0.0
"[111, 10]",PBJ,"[111, 10]",21,4,[4. 2.],6,W,-575.0,-2,-1.2
"[4, 10]",S,"[4, 10]",14,5,[ 5.  3. 10.],18,L,-600.0,-2,-1.2
"[10, 10]",S,"[10, 10]",20,111,[111.   8.],19,W,-575.0,-1,-0.7
"[7, 10]",S,"[7, 10]",17,2,[ 2.  3.  5. 10.],20,L,-600.0,-4,-2.8
"[3, 10]",H,"[3, 10, 10]",23,9,[9.],9,L,-625.0,-2,-1.5
"[6, 10]",H,"[6, 10, 8]",24,111,[111.],11,L,-650.0,-3,-2.4
"[2, 7]",D,"[2, 7, 4]",13,3,[ 3.  8. 10.],21,L,-700.0,-4,-3.4
"[10, 10]",S,"[10, 10]",20,10,[ 10.   3. 111.   4.],18,W,-675.0,-1,-0.9
"[10, 6]",S,"[10, 6]",16,4,[ 4.  3.  2. 10.],19,L,-700.0,0,0
"[111, 6]",D,"[111, 6, 9]",16,3,[ 3.  7. 10.],20,L,-750.0,2,1.1
"[10, 8]",S,"[10, 8]",18,4,[ 4. 10.  6.],20,L,-775.0,3,1.7
"[9, 10]",S,"[9, 10]",19,3,[ 3.  2.  7. 10.],22,W,-750.0,3,1.8
"[9, 7]",S,"[9, 7]",16,5,[ 5.  5.  5. 10.],25,W,-650.0,4,2.6
"[111, 10]",PBJ,"[111, 10]",21,5,[5. 4.],9,W,-350.0,7,4.9
"[4, 2]",H,"[4, 2, 7, 10]",23,9,[9.],9,L,-575.0,7,5.1
"[5, 10]",S,"[5, 10]",15,4,[ 4.  3.  9. 10.],26,W,-550.0,9,7.1
"[10, 6]",S,"[10, 6]",16,3,[ 3.  2. 10.  8.],23,W,-300.0,10,8.7
"[7, 6]",H,"[7, 6, 111, 5]",19,111,[111.  10.],21,L,-550.0,11,10.6
"[111, 3]",H,"[111, 3, 8]",12,4,[ 4.  5. 10.],19,L,-575.0,0,0
"[10, 6]",S,"[10, 6]",16,2,[2. 6. 7. 2.],17,L,-600.0,1,0.5
"[10, 10]",S,"[10, 10]",20,111,[111.   7.],18,W,-575.0,5,2.8
"[111, 10]",PBJ,"[111, 10]",21,7,[7. 4.],11,W,-500.0,3,1.8
