Player First Hand,Player Action,Player Hand,Player Sum,Dealer Show Card,Dealer Hand,Dealer Sum,Result,Total Winning,Running Count,True Count
"[7, 9]",S,"[7, 9]",16,3,[3. 5. 9.],17,L,-25,0,0
"[4, 6]",H,"[4, 6, 10]",20,10,[ 10. 111.],21,L,-50,3,1.6
"[10, 111]",PBJ,"[10, 111]",21,8,[ 8. 10.],18,W,-12.5,2,1.1
"[9, 10]",S,"[9, 10]",19,10,[10.  5. 10.],25,W,12.5,-1,-0.6
"[10, 10]",S,"[10, 10]",20,4,[4. 7. 7.],18,W,37.5,-3,-1.8
"[7, 10]",S,"[7, 10]",17,3,[ 3. 10. 10.],23,W,62.5,-2,-1.3
"[10, 10]",S,"[10, 10]",20,10,[10.  2. 10.],22,W,87.5,-3,-2.1
"[3, 10]",H,"[3, 10, 6]",19,10,[10. 10.],20,L,62.5,-6,-4.5
"[2, 4]",H,"[2, 4, 5, 4]",15,6,[ 6.  2. 10.],18,L,37.5,-7,-5.6
"[10, 10]",S,"[10, 10]",20,3,[  3.   8. 111. 111.  10.],23,W,62.5,-2,-1.8
"[3, 3]",SP,"[array([ 3, 10]), array([ 3,  8, 10])]","[13, 21]",3,[  3.   4. 111.],18,"['SL', 'SW']",87.5,0,0
"[10, 4]",H,"[10, 4, 4]",18,9,[9. 8.],17,W,112.5,1,0
"[111, 7]",D,"[111, 7, 10]",18,4,[ 4.  3. 10.],17,W,162.5,2,1.1
"[111, 4]",H,"[111, 4, 7, 7]",19,10,[10.  6.  8.],24,W,187.5,2,1.2
"[2, 111]",H,"[2, 111, 6]",19,10,[10. 10.],20,L,87.5,4,2.7
"[10, 4]",H,"[10, 4, 6]",20,8,[8. 3. 8.],19,W,112.5,3,2.1
"[2, 3]",H,"[2, 3, 6, 7]",18,10,[10.  7.],17,W,262.5,5,3.9
"[10, 7]",S,"[10, 7]",17,6,[ 6.  5. 10.],21,L,12.5,9,7.7
"[10, 2]",H,"[10, 2, 2, 4]",18,10,[10. 10.],20,L,-12.5,10,9.3
"[10, 111]",PBJ,"[10, 111]",21,10,[10.  6.],16,W,25.0,0,0
