Player First Hand,Player Action,Player Hand,Player Sum,Dealer Show Card,Dealer Hand,Dealer Sum,Result,Total Winning,Running Count,True Count
"[3, 7]",H,"[3, 7, 4, 6]",20,10,[10.  7.],17,W,-125.0,2,1.1
"[10, 2]",H,"[10, 2, 8]",20,3,[ 3. 10.  4.],17,W,25.0,6,3.5
"[111, 9]",S,"[111, 9]",20,4,[ 4. 10.  4.],18,W,200.0,7,4.4
"[3, 10]",H,"[3, 10, 8]",21,111,[111.   5.  10.  10.],26,W,400.0,7,4.7
"[111, 3]",D,"[111, 3, 8]",12,6,[ 6.  6. 10.],22,W,700.0,5,3.7
"[4, 2]",H,"[4, 2, 2, 3, 8]",19,10,[10. 10.],20,L,500.0,6,4.9
"[7, 10]",S,"[7, 10]",17,3,[ 3.  4.  7.  2. 10.],26,W,525.0,8,7.3
"[10, 10]",S,"[10, 10]",20,10,[10.  2.  3.  3.],18,W,775.0,0,0
"[5, 7]",H,"[5, 7, 9]",21,10,[10.  4. 10.],24,W,800.0,0,0.0
"[111, 5]",H,"[111, 5, 9]",15,2,[2. 8. 7.],17,L,775.0,1,0.6
"[10, 7]",S,"[10, 7]",17,6,[  6. 111.],17,P,775.0,3,1.8
"[8, 9]",S,"[8, 9]",17,10,[10.  8.],18,L,750.0,3,1.9
"[111, 5]",H,"[111, 5, 2]",18,7,[7. 6. 9.],22,W,775.0,2,1.3
"[10, 10]",S,"[10, 10]",20,8,[ 8.  7. 10.],25,W,925.0,5,3.6
"[10, 9]",S,"[10, 9]",19,10,[ 10. 111.],21,L,850.0,3,2.3
"[7, 6]",S,"[7, 6]",13,4,[  4.   4.   4.   3. 111.  10.],26,W,875.0,0,0.0
"[9, 10]",S,"[9, 10]",19,5,[5. 7. 5.],17,W,1025.0,4,3.8
"[3, 10]",H,"[3, 10, 6]",19,10,[10. 10.],20,L,775.0,0,0
"[6, 10]",H,"[6, 10, 2]",18,10,[10. 10.],20,L,750.0,-1,-0.5
"[9, 10]",S,"[9, 10]",19,7,[7. 2. 7. 7.],23,W,775.0,-2,-1.1
"[10, 111]",PBJ,"[10, 111]",21,9,[9. 6.],15,W,812.5,1,0.6
"[10, 111]",PBJ,"[10, 111]",21,10,[10.  8.],18,W,850.0,0,0.0
"[10, 8]",S,"[10, 8]",18,10,[10. 10.],20,L,825.0,-3,-1.9
"[9, 10]",S,"[9, 10]",19,111,[111.   9.],20,L,800.0,-6,-4.1
"[4, 5]",D,"[4, 5, 5]",14,4,[4. 2. 3. 4. 5.],18,L,750.0,-8,-5.8
"[10, 9]",S,"[10, 9]",19,4,[ 4.  4. 10.],18,W,775.0,0,0.0
"[10, 5]",H,"[10, 5, 6]",21,7,[  7.   9. 111.],17,W,800.0,0,0.0
"[8, 10]",S,"[8, 10]",18,10,[10.  7.],17,W,825.0,1,1.0
"[10, 9]",S,"[10, 9]",19,10,[ 10. 111.],21,L,800.0,0,0
"[6, 7]",S,"[6, 7]",13,2,[2. 5. 6. 5.],18,L,775.0,-3,-1.6
"[3, 10]",H,"[3, 10, 10]",23,10,[10.],10,L,750.0,3,1.7
"[8, 10]",S,"[8, 10]",18,10,[10.  2. 10.],22,W,775.0,1,0.6
"[10, 10]",S,"[10, 10]",20,4,[ 4.  8. 10.],22,W,800.0,-1,-0.6
"[10, 8]",S,"[10, 8]",18,4,[ 4. 10. 10.],24,W,825.0,-3,-1.9
"[111, 7]",D,"[111, 7, 10]",18,3,[  3.   9. 111.   3.   9.],25,W,875.0,-5,-3.5
"[10, 4]",H,"[10, 4, 111, 8]",23,10,[10.],10,L,850.0,-5,-3.9
"[8, 2]",D,"[8, 2, 10]",20,5,[ 5.  6.  2. 10.],23,W,900.0,-7,-5.9
